Nº separata;AÑO PUBLICACIÓN;ESTADO;TÍTULO;PUBLICACIÓN;FI;Q(JIF);Decil;doi;PMID;RESPONSABLE;Cita;__text_for_theme;__year;__tokens;ChatGPT_Class;Gemini_Class;DeepSeek_Class;Santos_Class
;;Enviado;Adverse outcomes among pregnant women with COVID-19 according to hospitalization status: a prospective individual participant data meta-analysis in Europe and North America;International Journal of Gynecology & Obstetrics;;;;;;;;  Enviado Adverse outcomes among pregnant women with COVID-19 according to hospitalization status: a prospective individual participant data meta-analysis in Europe and North America International Journal of Gynecology & Obstetrics                                               ;;['enviado', 'adverse', 'outcomes', 'among', 'pregnant', 'women', 'covid', 'according', 'hospitalization', 'status', 'prospective', 'individual', 'participant', 'data', 'meta', 'europe', 'north', 'america', 'international', 'journal', 'gynecology', 'obstetrics'];Reproductive, Maternal & Child Health;COVID-19, Pregnancy, Meta-analysis, RWD, CONSIGN, Hospitalization, Trimester, Stillbirth;COVID-19, Pregnancy, Women's Health, Meta-analysis, Hospitalization, Europe, North America, ;Pregnant population, COVID Disease, Meta-analysis, Women population, International Cohorts
;;Enviado;Medications used among Non-Hospitalized Pregnant Women with COVID-19: a Prospective Individual Patient Data Meta-analysis in Europe and North America;Pharmacoepidemiology and Drug Safety;;;;;;;;  Enviado Medications used among Non-Hospitalized Pregnant Women with COVID-19: a Prospective Individual Patient Data Meta-analysis in Europe and North America Pharmacoepidemiology and Drug Safety                                               ;;['enviado', 'medications', 'used', 'among', 'non', 'hospitalized', 'pregnant', 'women', 'covid', 'prospective', 'individual', 'patient', 'data', 'meta', 'europe', 'north', 'america', 'pharmacoepidemiology', 'drug', 'safety'];Pharmacovigilance, Drug Safety;COVID-19, Pregnancy, Pharmacy, Meta-analysis, RWD, Antithrombotics, Antibacterials, Outpatient;COVID-19, Pregnancy, Women's Health, Medication Use, Meta-analysis, Europe, North America, ;Pharmacoepidemiology, Pregnant population, Women population, COVID Disease, Meta-analysis, International Cohorts
;2025;Publicado;The burden of inequity: Income related disparities in cardiovascular risk factors in Europe;Public Health;3.2;Q1;;;;;; 2025 Publicado The burden of inequity: Income related disparities in cardiovascular risk factors in Europe Public Health 3.2 Q1 (PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH)                                             ;2025;['2025', 'publicado', 'burden', 'inequity', 'income', 'related', 'disparities', 'cardiovascular', 'risk', 'factors', 'europe', 'environmental', 'occupational'];Chronic Diseases, Multimorbidity;Inequality, CVD, Risk Factors, Europe, SDOH, Income, Diabetes, Public Health;Health Inequalities, Cardiovascular Disease, Social Determinants, Europe, Health Disparities, Income Inequality, , ;CV Disease, Health Inequity, Social determinant, Survey data, Risk factor
;2025;Publicado;Multimorbidity of hidradenitis suppurativa: a cross-sectional population-based study of its associated comorbidities;Frontiers in Medicine;3;Q1;;;;Manuel-Toño;"Almenara-Blasco M, Gracia-Cazaña T, Poblador-Plou B, Laguna-Berna C, Navarro-Bielsa A, Moreno-Juste A, Gimeno-Miguel A, Gilaberte Y. Multimorbidity of hidradenitis suppurativa: a cross-sectional population-based study of its associated comorbidities. Front Med (Lausanne). 2025 Sep 5;12:1618975. doi: 10.3389/fmed.2025.1618975. PMID: 40978758; PMCID: PMC12446040.";" 2025 Publicado Multimorbidity of hidradenitis suppurativa: a cross-sectional population-based study of its associated comorbidities Frontiers in Medicine 3 Q1 (MEDICINE, GENERAL & INTERNAL)    Manuel-Toño M. Almenara-Blasco, T. Gracia-Cazaña, B. Poblador-Plou, C. Laguna-Berna, A. Navarro-Bielsa, A. Moreno-Juste, A. Gimeno-Miguel, Y. Gilaberte                              Almenara-Blasco M, Gracia-Cazaña T, Poblador-Plou B, Laguna-Berna C, Navarro-Bielsa A, Moreno-Juste A, Gimeno-Miguel A, Gilaberte Y. Multimorbidity of hidradenitis suppurativa: a cross-sectional population-based study of its associated comorbidities. Front Med (Lausanne). 2025 Sep 5;12:1618975. doi: 10.3389/fmed.2025.1618975. PMID: 40978758; PMCID: PMC12446040.          ";2025;['2025', 'publicado', 'multimorbidity', 'hidradenitis', 'suppurativa', 'cross', 'sectional', 'population', 'its', 'associated', 'comorbidities', 'frontiers', 'medicine', 'medicine', 'general', 'internal', 'manuel', 'toño', 'almenara', 'blasco', 'gracia', 'cazaña', 'poblador', 'plou', 'laguna', 'berna', 'navarro', 'bielsa', 'moreno', 'juste', 'gimeno', 'miguel', 'gilaberte', 'almenara', 'blasco', 'gracia', 'cazaña', 'poblador', 'plou', 'laguna', 'berna', 'navarro', 'bielsa', 'moreno', 'juste', 'gimeno', 'miguel', 'gilaberte', 'multimorbidity', 'hidradenitis', 'suppurativa', 'cross', 'sectional', 'population', 'its', 'associated', 'comorbidities', 'front', 'med', 'lausanne', '2025', 'sep', '1618975', 'doi', '3389', 'fmed', '2025', '1618975', 'pmid', '40978758', 'pmcid', 'pmc12446040'];Chronic Diseases, Multimorbidity;Dermatology, Multimorbidity, RWD, EpiChron, Infections, Psychotic, Spain, Metabolic Syndrome;Hidradenitis Suppurativa, Multimorbidity, Dermatology, Cross-sectional Study, Comorbidities, Population-based, , ;Dermatology Disease, Multimorbidity, Comorbidity, Specific condition, BIGAN Cohort
;2025;Publicado;Descripción de patrones de multimorbilidad de la psoriasis mediante análisis de redes;Actas dermo-sifiliograficas;2.8;Q2;;https://doi.org/10.1016/j.ad.2024.12.017;;;; 2025 Publicado Descripción de patrones de multimorbilidad de la psoriasis mediante análisis de redes Actas dermo-sifiliograficas 2.8 Q2 (DERMATOLOGY)  https://doi.org/10.1016/j.ad.2024.12.017                                           ;2025;['2025', 'publicado', 'descripción', 'patrones', 'multimorbilidad', 'psoriasis', 'mediante', 'análisis', 'redes', 'actas', 'dermo', 'sifiliograficas', 'dermatology', 'https', 'doi', 'org', '1016', '2024', '017'];Other, Miscellaneous;Dermatology, Multimorbidity, Network Analysis, RWD, EpiChron, Psoriasis, Spain, Louvain algorithm;Multimorbidity, Network Analysis, Comorbidity Patterns, Dermatology, , , , ;Multimorbidity, Disease Pattern, Dermatology Disease, Network analysis, Specific condition, BIGAN Cohort
151;2025;Publicado;When gender matters: inequalities in health services utilization and risk factors monitoring after acute myocardial infarction;Frontiers in Global Women´s Health;2.4;Q2;;;;;"López-Ferreruela I, Gimeno-Miguel A, Laguna-Berna C, Malo S, Castel-Feced S, José Rabanaque M, Aguilar-Palacio I. When gender matters: inequalities in health services utilization and risk factors monitoring after acute myocardial infarction. Front Glob Womens Health. 2025 Jun 26;6:1605400. doi: 10.3389/fgwh.2025.1605400. PMID: 40642050; PMCID: PMC12241081.";"151 2025 Publicado When gender matters: inequalities in health services utilization and risk factors monitoring after acute myocardial infarction Frontiers in Global Women´s Health 2.4 Q2 (PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH)
Q2 (OBSTETRICS & GYNECOLOGY)                                   López-Ferreruela I, Gimeno-Miguel A, Laguna-Berna C, Malo S, Castel-Feced S, José Rabanaque M, Aguilar-Palacio I. When gender matters: inequalities in health services utilization and risk factors monitoring after acute myocardial infarction. Front Glob Womens Health. 2025 Jun 26;6:1605400. doi: 10.3389/fgwh.2025.1605400. PMID: 40642050; PMCID: PMC12241081.          ";2025;['151', '2025', 'publicado', 'when', 'gender', 'matters', 'inequalities', 'services', 'utilization', 'risk', 'factors', 'monitoring', 'after', 'acute', 'myocardial', 'infarction', 'frontiers', 'global', 'women', 'environmental', 'occupational', 'obstetrics', 'gynecology', 'lópez', 'ferreruela', 'gimeno', 'miguel', 'laguna', 'berna', 'malo', 'castel', 'feced', 'josé', 'rabanaque', 'aguilar', 'palacio', 'when', 'gender', 'matters', 'inequalities', 'services', 'utilization', 'risk', 'factors', 'monitoring', 'after', 'acute', 'myocardial', 'infarction', 'front', 'glob', 'womens', '2025', 'jun', '1605400', 'doi', '3389', 'fgwh', '2025', '1605400', 'pmid', '40642050', 'pmcid', 'pmc12241081'];Health Services, Utilization, Policy;Gender, CVD, Secondary Prevention, Inequality, RWD, CARhES, AMI, LDL-C;Gender Differences, Acute Myocardial Infarction, Health Services Utilization, Cardiovascular Disease, Health Inequalities, Risk Factors, , ;Use of Health Service, Health Inequity, CV Disease, CARhES Cohort, Risk factor
150;2025;Publicado;"Electronic Health Records: A Gateway to AI-Driven
Multimorbidity Solutions—A Comprehensive
Systematic Review";Journal of Clinical Medicine;2.9;Q1;;;;;"Ioakeim-Skoufa I, Cebollada-Herrera C, Marín-Bárcena C, Roque V, Roque F, Atkins K, Hernández-Rodríguez MÁ, Aza-Pascual-Salcedo M, Fanlo-Villacampa A, Coelho H, Lasala-Aza C, Ledesma-Calvo R, Gimeno-Miguel A, Vicente-Romero J. Electronic Health Records: A Gateway to AI-Driven Multimorbidity Solutions-A Comprehensive Systematic Review. J Clin Med. 2025 May 14;14(10):3434. doi: 10.3390/jcm14103434. PMID: 40429432; PMCID: PMC12112622.";"150 2025 Publicado Electronic Health Records: A Gateway to AI-Driven
Multimorbidity Solutions—A Comprehensive
Systematic Review Journal of Clinical Medicine 2.9 Q1 (MEDICINE, GENERAL & INTERNAL)                                   Ioakeim-Skoufa I, Cebollada-Herrera C, Marín-Bárcena C, Roque V, Roque F, Atkins K, Hernández-Rodríguez MÁ, Aza-Pascual-Salcedo M, Fanlo-Villacampa A, Coelho H, Lasala-Aza C, Ledesma-Calvo R, Gimeno-Miguel A, Vicente-Romero J. Electronic Health Records: A Gateway to AI-Driven Multimorbidity Solutions-A Comprehensive Systematic Review. J Clin Med. 2025 May 14;14(10):3434. doi: 10.3390/jcm14103434. PMID: 40429432; PMCID: PMC12112622.          ";2025;['150', '2025', 'publicado', 'electronic', 'records', 'gateway', 'driven', 'multimorbidity', 'solutions', 'comprehensive', 'systematic', 'review', 'journal', 'clinical', 'medicine', 'medicine', 'general', 'internal', 'ioakeim', 'skoufa', 'cebollada', 'herrera', 'marín', 'bárcena', 'roque', 'roque', 'atkins', 'hernández', 'rodríguez', 'aza', 'pascual', 'salcedo', 'fanlo', 'villacampa', 'coelho', 'lasala', 'aza', 'ledesma', 'calvo', 'gimeno', 'miguel', 'vicente', 'romero', 'electronic', 'records', 'gateway', 'driven', 'multimorbidity', 'solutions', 'comprehensive', 'systematic', 'review', 'clin', 'med', '2025', 'may', '3434', 'doi', '3390', 'jcm14103434', 'pmid', '40429432', 'pmcid', 'pmc12112622'];Chronic Diseases, Multimorbidity;AI/ML, Multimorbidity, EHR, RWD, Systematic Review, Informatics, Predictive Analytics, Resource Allocation;Electronic Health Records, Artificial Intelligence, Multimorbidity, Systematic Review, Health Informatics, Digital Health, , ;RWD, Systematic Review, Multimorbidity, AI/ML
149;2025;Publicado;"Charting the Pathways of Cardiometabolic Multimorbidity:
A Systematic Review of Clinical Trajectories";Journal of Clinical Medicine;2.9;Q1;;;;;"Ioakeim-Skoufa I, Ledesma-Calvo R, Moreno-Juste A, Roque F, Atkins K, Hernández-Rodríguez MÁ, Aza-Pascual-Salcedo M, González-Rubio F, Lasala-Aza C, Esteban-Jiménez Ó, Avedillo-Salas A, Cebollada-Herrera C, Gimeno-Miguel A, Vicente-Romero J. Charting the Pathways of Cardiometabolic Multimorbidity: A Systematic Review of Clinical Trajectories. J Clin Med. 2025 Apr 11;14(8):2615. doi: 10.3390/jcm14082615. PMID: 40283445; PMCID: PMC12028097.";"149 2025 Publicado Charting the Pathways of Cardiometabolic Multimorbidity:
A Systematic Review of Clinical Trajectories Journal of Clinical Medicine 2.9 Q1 (MEDICINE, GENERAL & INTERNAL)                                   Ioakeim-Skoufa I, Ledesma-Calvo R, Moreno-Juste A, Roque F, Atkins K, Hernández-Rodríguez MÁ, Aza-Pascual-Salcedo M, González-Rubio F, Lasala-Aza C, Esteban-Jiménez Ó, Avedillo-Salas A, Cebollada-Herrera C, Gimeno-Miguel A, Vicente-Romero J. Charting the Pathways of Cardiometabolic Multimorbidity: A Systematic Review of Clinical Trajectories. J Clin Med. 2025 Apr 11;14(8):2615. doi: 10.3390/jcm14082615. PMID: 40283445; PMCID: PMC12028097.          ";2025;['149', '2025', 'publicado', 'charting', 'pathways', 'cardiometabolic', 'multimorbidity', 'systematic', 'review', 'clinical', 'trajectories', 'journal', 'clinical', 'medicine', 'medicine', 'general', 'internal', 'ioakeim', 'skoufa', 'ledesma', 'calvo', 'moreno', 'juste', 'roque', 'atkins', 'hernández', 'rodríguez', 'aza', 'pascual', 'salcedo', 'gonzález', 'rubio', 'lasala', 'aza', 'esteban', 'jiménez', 'avedillo', 'salas', 'cebollada', 'herrera', 'gimeno', 'miguel', 'vicente', 'romero', 'charting', 'pathways', 'cardiometabolic', 'multimorbidity', 'systematic', 'review', 'clinical', 'trajectories', 'clin', 'med', '2025', 'apr', '2615', 'doi', '3390', 'jcm14082615', 'pmid', '40283445', 'pmcid', 'pmc12028097'];Chronic Diseases, Multimorbidity;Trajectories, Multimorbidity, Systematic Review, Cardiometabolic, Clinical Pathways, Progression, Chronic Disease, Life-course;Cardiometabolic Diseases, Multimorbidity, Systematic Review, Clinical Trajectories, Chronic Disease Pathways, , , ;Disease Trajectories, Multimorbidity, CV Disease, Metabolic Disease, Systematic Review
148;2025;Publicado;Comorbidities Associated with Vitiligo: Results from the EpiChron Cohort;Journal of Clinical Medicine;2.9;Q1;;https://doi.org/10.3390/jcm14020432;39860439;;"Clemente Hernández B, Muelas Rives I, Gracia Cazaña T, Álvarez Salafranca M, Poblador-Plou B, Laguna-Berna C, Moreno Juste A, Gimeno-Miguel A, Gilaberte Y. Comorbidities Associated with Vitiligo: Results from the EpiChron Cohort. J Clin Med. 2025 Jan 11;14(2):432. doi: 10.3390/jcm14020432. PMID: 39860439; PMCID: PMC11765835.";"148 2025 Publicado Comorbidities Associated with Vitiligo: Results from the EpiChron Cohort Journal of Clinical Medicine 2.9 Q1 (MEDICINE, GENERAL & INTERNAL)  https://doi.org/10.3390/jcm14020432 39860439  Beatriz Clemente Hernández, Itziar Muelas Rives, Tamara Gracia Cazaña, Marcial Álvarez Salafranca, Beatriz Poblador-Plou, Clara Laguna-Berna, Aida Moreno Juste, Antonio Gimeno-Miguel, Yolanda Gilaberte            1    1 1  1        Beatriz Clemente Beatriz Clemente Yolanda Gilaberte y Toño Clemente Hernández B, Muelas Rives I, Gracia Cazaña T, Álvarez Salafranca M, Poblador-Plou B, Laguna-Berna C, Moreno Juste A, Gimeno-Miguel A, Gilaberte Y. Comorbidities Associated with Vitiligo: Results from the EpiChron Cohort. J Clin Med. 2025 Jan 11;14(2):432. doi: 10.3390/jcm14020432. PMID: 39860439; PMCID: PMC11765835.          ";2025;['148', '2025', 'publicado', 'comorbidities', 'associated', 'vitiligo', 'results', 'epichron', 'cohort', 'journal', 'clinical', 'medicine', 'medicine', 'general', 'internal', 'https', 'doi', 'org', '3390', 'jcm14020432', '39860439', 'beatriz', 'clemente', 'hernández', 'itziar', 'muelas', 'rives', 'tamara', 'gracia', 'cazaña', 'marcial', 'álvarez', 'salafranca', 'beatriz', 'poblador', 'plou', 'clara', 'laguna', 'berna', 'aida', 'moreno', 'juste', 'antonio', 'gimeno', 'miguel', 'yolanda', 'gilaberte', 'beatriz', 'clemente', 'beatriz', 'clemente', 'yolanda', 'gilaberte', 'toño', 'clemente', 'hernández', 'muelas', 'rives', 'gracia', 'cazaña', 'álvarez', 'salafranca', 'poblador', 'plou', 'laguna', 'berna', 'moreno', 'juste', 'gimeno', 'miguel', 'gilaberte', 'comorbidities', 'associated', 'vitiligo', 'results', 'epichron', 'cohort', 'clin', 'med', '2025', 'jan', '432', 'doi', '3390', 'jcm14020432', 'pmid', '39860439', 'pmcid', 'pmc11765835'];Other, Miscellaneous;Dermatology, Vitiligo, Multimorbidity, RWD, EpiChron, Endocrine, Thyroid, Autoimmune;Vitiligo, Comorbidities, Dermatology, EpiChron Cohort, Autoimmune Diseases, , , ;Dermatology Disease, Multimorbidity, Comorbidity, EpiChron Cohort, Specific condition
147;2025;Publicado;The European Drug–Drug Interaction (EuroDDI) Study Protocol: A Cross-Country Comparison of Drug–Drug Interaction Prevalence in the Older Community-Dwelling Population;Pharmacoepidemiology and Drug Safety;2.4;Q2;;https://doi.org/10.1002/pds.70092;39777812;;"Hughes JE, Menditto E, Mucherino S, Orlando V, Moreno-Juste A, Gimeno-Miguel A, Poblador-Plou B, Aza-Pascual-Salcedo M, González-Rubio F, Ioakeim-Skoufa I, Bennett K, Cahir C. The European Drug-Drug Interaction (EuroDDI) Study Protocol: A Cross-Country Comparison of Drug-Drug Interaction Prevalence in the Older Community-Dwelling Population. Pharmacoepidemiol Drug Saf. 2025 Jan;34(1):e70092. doi: 10.1002/pds.70092. PMID: 39777812; PMCID: PMC11706702.";"147 2025 Publicado The European Drug–Drug Interaction (EuroDDI) Study Protocol: A Cross-Country Comparison of Drug–Drug Interaction Prevalence in the Older Community-Dwelling Population Pharmacoepidemiology and Drug Safety 2.4 Q2 (PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH)
Q3 (PHAMACOLOGY AND PHARMACY)  https://doi.org/10.1002/pds.70092 39777812  John E Hughes, Enrica Menditto, Sara Mucherino, Valentina Orlando, Aida Moreno-Juste, Antonio Gimeno-Miguel, Beatriz Poblador-Plou, Mercedes Aza-Pascual-Salcedo, Francisca González-Rubio, Ignatios Ioakeim-Skoufa, Kathleen Bennett, Caitriona Cahir  1          1 1  1  1  1        John E. Hughes John E. Hughes Caitriona CahiR Hughes JE, Menditto E, Mucherino S, Orlando V, Moreno-Juste A, Gimeno-Miguel A, Poblador-Plou B, Aza-Pascual-Salcedo M, González-Rubio F, Ioakeim-Skoufa I, Bennett K, Cahir C. The European Drug-Drug Interaction (EuroDDI) Study Protocol: A Cross-Country Comparison of Drug-Drug Interaction Prevalence in the Older Community-Dwelling Population. Pharmacoepidemiol Drug Saf. 2025 Jan;34(1):e70092. doi: 10.1002/pds.70092. PMID: 39777812; PMCID: PMC11706702.          ";2025;['147', '2025', 'publicado', 'european', 'drug', 'drug', 'interaction', 'euroddi', 'protocol', 'cross', 'country', 'comparison', 'drug', 'drug', 'interaction', 'prevalence', 'older', 'community', 'dwelling', 'population', 'pharmacoepidemiology', 'drug', 'safety', 'environmental', 'occupational', 'phamacology', 'pharmacy', 'https', 'doi', 'org', '1002', 'pds', '70092', '39777812', 'john', 'hughes', 'enrica', 'menditto', 'sara', 'mucherino', 'valentina', 'orlando', 'aida', 'moreno', 'juste', 'antonio', 'gimeno', 'miguel', 'beatriz', 'poblador', 'plou', 'mercedes', 'aza', 'pascual', 'salcedo', 'francisca', 'gonzález', 'rubio', 'ignatios', 'ioakeim', 'skoufa', 'kathleen', 'bennett', 'caitriona', 'cahir', 'john', 'hughes', 'john', 'hughes', 'caitriona', 'cahir', 'hughes', 'menditto', 'mucherino', 'orlando', 'moreno', 'juste', 'gimeno', 'miguel', 'poblador', 'plou', 'aza', 'pascual', 'salcedo', 'gonzález', 'rubio', 'ioakeim', 'skoufa', 'bennett', 'cahir', 'european', 'drug', 'drug', 'interaction', 'euroddi', 'protocol', 'cross', 'country', 'comparison', 'drug', 'drug', 'interaction', 'prevalence', 'older', 'community', 'dwelling', 'population', 'pharmacoepidemiol', 'drug', 'saf', '2025', 'jan', 'e70092', 'doi', '1002', 'pds', '70092', 'pmid', '39777812', 'pmcid', 'pmc11706702'];Pharmacovigilance, Drug Safety;DDI, Pharmacy, Elderly, Protocol, Cross-country, Safety, ATC, Polypharmacy;Drug-Drug Interactions, Polypharmacy, Elderly, Pharmacoepidemiology, Study Protocol, Cross-country Comparison, Europe, ;Pharmacoepidemiology, Drug-drug Interaction, Study Protocol, International Cohorts
